"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 10:28:05 AST 2023","Sun Sep 24 10:28:06 AST 2023","17","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneCategoryTextIsCorrect","verifySliderIndexOneCategoryTextIsCorrect",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","19","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_1_HeadTextIsCorrect","verifyCard_1_HeadTextIsCorrect",""
"unknown","Sun Sep 24 10:26:24 AST 2023","Sun Sep 24 10:26:24 AST 2023","0","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyAcademyMenuItemAfterClickHideNavbar","verifyAcademyMenuItemAfterClickHideNavbar",""
"passed","Sun Sep 24 10:26:58 AST 2023","Sun Sep 24 10:26:58 AST 2023","18","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","aboutUsMenuItemTextIsCorrect","aboutUsMenuItemTextIsCorrect",""
"passed","Sun Sep 24 10:29:15 AST 2023","Sun Sep 24 10:29:18 AST 2023","2365","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","enterValidFormatCourseNameDisplaysAtLeastOne","enterValidFormatCourseNameDisplaysAtLeastOne",""
"passed","Sun Sep 24 10:26:33 AST 2023","Sun Sep 24 10:26:33 AST 2023","34","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyBlogMenuItemIsActiveClassAfterClick","verifyBlogMenuItemIsActiveClassAfterClick",""
"passed","Sun Sep 24 10:28:06 AST 2023","Sun Sep 24 10:28:06 AST 2023","25","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneTitleIsDisplayed","verifySliderIndexOneTitleIsDisplayed",""
"passed","Sun Sep 24 10:27:09 AST 2023","Sun Sep 24 10:27:09 AST 2023","22","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","scrollDownSection","scrollDownSection",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","23","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyHeroSectionImageAltIsCorrect","verifyHeroSectionImageAltIsCorrect",""
"passed","Sun Sep 24 10:27:27 AST 2023","Sun Sep 24 10:27:33 AST 2023","6189","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","NavigateToSpecialistsPage","NavigateToSpecialistsPage",""
